filename,ground_truth,prediction,category
05_IMG_2E420008_2025-01-17_15-30-15_000662_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-30-45_000667_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-36-23_000705_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-36-58_000712_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-38-13_000725_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-48-35_000758_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-48-48_000761_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-48-55_000762_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-49-33_000770_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-17_15-50-44_000785_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-00-59_000008_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-02-49_000021_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-04-20_000037_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-08-48_000056_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-11-44_000084_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-15-08_000093_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-15-47_000100_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-23-54_000119_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-27-59_000153_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-28-50_000161_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-46-33_000192_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_10-46-52_000195_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-02-30_000231_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-02-48_000233_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-10-52_000288_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-17-07_000330_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-18-01_000341_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-18-35_000348_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-18-40_000349_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-23-01_000376_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-26-33_000393_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-40-56_000486_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-47-17_000515_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-49-04_000530_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-49-17_000533_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-54-52_000562_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-55-25_000569_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_11-55-47_000573_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-00-23_000614_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-00-47_000619_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-03-04_000630_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-03-17_000633_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-04-05_000643_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-04-46_000651_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-06-12_000668_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_12-06-45_000675_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_14-19-50_000697_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_14-20-10_000700_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_14-29-12_000739_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_14-30-01_000743_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_14-31-30_000753_GlossRatio_cropped.png,bad,bad,TP
05_IMG_2E420008_2025-01-20_14-32-09_000757_GlossRatio_cropped.png,bad,bad,TP
